key,en,es,fr,de,ja,zh
failedToShowCacheDebugInfo,"Failed to show cache debug info: {0}","Error al mostrar la información de depuración de la caché: {0}","Impossible d’afficher les informations de débogage du cache : {0}","Fehler beim Anzeigen der Cache-Debug-Informationen: {0}","キャッシュのデバッグ情報を表示できませんでした: {0}","显示缓存调试信息失败：{0}"
noWorkspaceFolderOpen,"No workspace folder open","No hay ninguna carpeta de espacio de trabajo abierta","Aucun dossier d’espace de travail ouvert","Kein Workspace-Ordner geöffnet","ワークスペースフォルダーが開かれていません","未打开任何工作区文件夹"
now,"now","ahora","maintenant","jetzt","今","现在"
minutes,"m","m","min","Min","分","分"
hours,"h","h","h","Std","時間","小时"
days,"d","d","j","T","日","天"
weeks,"w","sem","sem","W","週","周"
months,"mo","mes","mois","Mon","か月","个月"
years,"y","a","an","J","年","年"
justNow,"just now","justo ahora","à l’instant","gerade eben","たった今","刚刚"
minutesAgo,"{0} minute(s) ago","hace {0} minuto(s)","il y a {0} minute(s)","vor {0} Minute(n)","{0} 分前","{0} 分钟前"
hoursAgo,"{0} hour(s) ago","hace {0} hora(s)","il y a {0} heure(s)","vor {0} Stunde(n)","{0} 時間前","{0} 小时前"
daysAgo,"{0} day(s) ago","hace {0} día(s)","il y a {0} jour(s)","vor {0} Tag(en)","{0} 日前","{0} 天前"
lastModified,"Last modified","Última modificación","Dernière modification","Zuletzt geändert","最終更新","最后修改"
refreshSuccess,"Date decorations refreshed","Decoraciones de fecha actualizadas","Décorations de date actualisées","Datumsdekorationen aktualisiert","日付装飾を更新しました","日期装饰已刷新"
activationError,"Explorer Dates failed to activate","Explorer Dates no se pudo activar","Échec de l’activation d’Explorer Dates","Explorer Dates konnte nicht aktiviert werden","Explorer Dates の有効化に失敗しました","Explorer Dates 启动失败"
errorAccessingFile,"Error accessing file for decoration","Error al acceder al archivo para la decoración","Erreur lors de l’accès au fichier pour la décoration","Fehler beim Zugriff auf Datei für Dekoration","装飾用ファイルへのアクセスエラー","访问用于装饰的文件时出错"
clearTelemetryPrompt,"This will permanently delete locally-stored telemetry events for Explorer Dates. This action cannot be undone. Proceed?","Esto eliminará permanentemente los eventos de telemetría almacenados localmente para Explorer Dates. Esta acción no se puede deshacer. ¿Continuar?","Cela supprimera définitivement les événements de télémétrie stockés localement pour Explorer Dates. Cette action est irréversible. Continuer ?","Dies löscht dauerhaft lokal gespeicherte Telemetrieereignisse für Explorer Dates. Diese Aktion kann nicht rückgängig gemacht werden. Fortfahren?","Explorer Dates のローカル保存テレメトリイベントを完全に削除します。この操作は元に戻せません。続行しますか？","这将永久删除本地存储的 Explorer Dates 遥测事件。此操作无法撤销。是否继续？"
clearTelemetryConfirm,"Clear Telemetry","Borrar telemetría","Effacer la télémétrie","Telemetrie löschen","テレメトリを削除","清除遥测"
clearTelemetryCancel,"Cancel","Cancelar","Annuler","Abbrechen","キャンセル","取消"
reportFormatDisabled,"Report format ""{0}"" is disabled. Allowed formats: {1}","El formato de informe ""{0}"" está deshabilitado. Formatos permitidos: {1}","Le format de rapport ""{0}"" est désactivé. Formats autorisés : {1}","Berichtsformat ""{0}"" ist deaktiviert. Zulässige Formate: {1}","レポート形式「{0}」は無効です。許可されている形式: {1}","报表格式“{0}”已禁用。允许的格式：{1}"
reportDownloadTriggered,"Report download triggered in browser","Descarga del informe iniciada en el navegador","Téléchargement du rapport lancé dans le navigateur","Bericht-Download im Browser gestartet","ブラウザでレポートのダウンロードを開始しました","已在浏览器中触发报表下载"
selectReportTimeRangePlaceholder,"Select report time range","Seleccionar rango de tiempo del informe","Sélectionner la période du rapport","Berichtszeitraum auswählen","レポートの期間を選択","选择报表时间范围"
selectReportFormatPlaceholder,"Select report format","Seleccionar formato del informe","Sélectionner le format du rapport","Berichtsformat auswählen","レポート形式を選択","选择报表格式"
cleanupNoDeprecated,"ℹ️ No deprecated settings found to clean up.","ℹ️ No se encontraron configuraciones obsoletas para limpiar.","ℹ️ Aucun paramètre obsolète à nettoyer.","ℹ️ Keine veralteten Einstellungen zum Bereinigen gefunden.","ℹ️ クリーンアップする非推奨設定はありません。","ℹ️ 未发现需要清理的已弃用设置。"
showMigrationHistoryNoHistory,"No migration history found.","No se encontró historial de migración.","Aucun historique de migration trouvé.","Kein Migrationsverlauf gefunden.","移行履歴が見つかりません。","未找到迁移历史。"
resetConfirmation,"This will reset all Explorer Dates settings to their default values. Are you sure?","Esto restablecerá todas las configuraciones de Explorer Dates a sus valores predeterminados. ¿Estás seguro?","Cela réinitialisera tous les paramètres Explorer Dates à leurs valeurs par défaut. Êtes-vous sûr ?","Dies setzt alle Explorer Dates Einstellungen auf ihre Standardwerte zurück. Sind Sie sicher?","Explorer Dates のすべての設定を既定値にリセットします。よろしいですか？","这将把所有 Explorer Dates 设置重置为默认值。确定吗？"
resetConfirm,"Reset Settings","Restablecer configuraciones","Réinitialiser les paramètres","Einstellungen zurücksetzen","設定をリセット","重置设置"
resetCancel,"Cancel","Cancelar","Annuler","Abbrechen","キャンセル","取消"
resetSuccess,"✅ Reset {0} settings to defaults.","✅ Se restablecieron {0} configuraciones a los valores predeterminados.","✅ {0} paramètres ont été réinitialisés aux valeurs par défaut.","✅ {0} Einstellungen auf Standard zurückgesetzt.","✅ {0} 件の設定を既定値にリセットしました。","✅ 已将 {0} 项设置重置为默认值。"
validateNoIssues,"✅ Configuration is valid - no issues found!","✅ La configuración es válida - no se encontraron problemas.","✅ La configuration est valide - aucun problème détecté !","✅ Konfiguration ist gültig - keine Probleme gefunden!","✅ 設定は有効です - 問題は見つかりませんでした！","✅ 配置有效 - 未发现问题！"
validateFoundIssues,"Found {0} configuration issue(s). Would you like to see details?","Se encontraron {0} problema(s) de configuración. ¿Deseas ver los detalles?","{0} problème(s) de configuration trouvé(s). Voulez-vous voir les détails ?","{0} Konfigurationsproblem(e) gefunden. Möchten Sie Details sehen?","{0} 件の設定問題が見つかりました。詳細を表示しますか？","发现 {0} 个配置问题。是否查看详细信息？"
validateShowDetails,"Show Details","Mostrar detalles","Afficher les détails","Details anzeigen","詳細を表示","显示详细信息"
validateDismiss,"Dismiss","Descartar","Ignorer","Verwerfen","閉じる","关闭"
migrationNotificationMessage,"Explorer Dates updated {0} setting(s) for compatibility. Your configuration has been preserved.","Explorer Dates actualizó {0} configuración(es) por compatibilidad. Tu configuración se ha conservado.","Explorer Dates a mis à jour {0} paramètre(s) pour compatibilité. Votre configuration a été conservée.","Explorer Dates hat {0} Einstellung(en) zur Kompatibilität aktualisiert. Ihre Konfiguration wurde beibehalten.","Explorer Dates は互換性のために {0} 件の設定を更新しました。設定は保持されています。","Explorer Dates 为兼容性更新了 {0} 项设置。您的配置已保留。"
migrationViewChanges,"View Changes","Ver cambios","Voir les modifications","Änderungen anzeigen","変更を表示","查看更改"
migrationOpenSettings,"Open Settings","Abrir configuraciones","Ouvrir les paramètres","Einstellungen öffnen","設定を開く","打开设置"
deprecatedPrompt,"Explorer Dates found {0} deprecated setting(s). Would you like to remove them?","Explorer Dates encontró {0} configuración(es) obsoleta(s). ¿Deseas eliminarlas?","Explorer Dates a trouvé {0} paramètre(s) obsolète(s). Voulez-vous les supprimer ?","Explorer Dates hat {0} veraltete Einstellung(en) gefunden. Möchten Sie sie entfernen?","Explorer Dates は {0} 件の非推奨設定を検出しました。削除しますか？","Explorer Dates 发现 {0} 个已弃用设置。是否删除？"
deprecatedClean,"Clean Up Now","Limpiar ahora","Nettoyer maintenant","Jetzt bereinigen","今すぐクリーンアップ","立即清理"
deprecatedKeep,"Keep Old Settings","Mantener configuraciones antiguas","Conserver les anciens paramètres","Alte Einstellungen behalten","古い設定を保持","保留旧设置"
deprecatedAskLater,"Ask Later","Preguntar más tarde","Demander plus tard","Später fragen","後で確認","稍后询问"
showFileLocation,"Show File Location","Mostrar ubicación del archivo","Afficher l’emplacement du fichier","Dateispeicherort anzeigen","ファイルの場所を表示","显示文件位置"
teamConfigCorrupted,"Explorer Dates team configuration file appears to be corrupted. Please check the .explorer-dates-profiles.json file or restore from backup.","El archivo de configuración de equipo de Explorer Dates parece estar dañado. Verifica el archivo .explorer-dates-profiles.json o restaura desde una copia de seguridad.","Le fichier de configuration d’équipe Explorer Dates semble corrompu. Vérifiez le fichier .explorer-dates-profiles.json ou restaurez-le depuis une sauvegarde.","Die Teamkonfigurationsdatei von Explorer Dates scheint beschädigt zu sein. Bitte prüfen Sie die Datei .explorer-dates-profiles.json oder stellen Sie sie aus einem Backup wieder her.","Explorer Dates のチーム設定ファイルが破損している可能性があります。.explorer-dates-profiles.json を確認するかバックアップから復元してください。","Explorer Dates 团队配置文件似乎已损坏。请检查 .explorer-dates-profiles.json 文件或从备份恢复。"
appliedFromTeamProfile,"Applied {0} Explorer Dates settings from team profile ""{1}"".","Se aplicaron {0} configuraciones de Explorer Dates desde el perfil de equipo ""{1}"".","{0} paramètres Explorer Dates appliqués depuis le profil d’équipe ""{1}"".","{0} Explorer Dates-Einstellungen aus dem Teamprofil ""{1}"" angewendet.","チームプロファイル「{1}」から {0} 件の Explorer Dates 設定を適用しました。","已从团队配置文件“{1}”应用 {0} 项 Explorer Dates 设置。"
documentedOverrides,"Documented Explorer Dates overrides in .vscode/explorer-dates-overrides.md","Se documentaron las anulaciones de Explorer Dates en .vscode/explorer-dates-overrides.md","Substitutions Explorer Dates documentées dans .vscode/explorer-dates-overrides.md","Explorer Dates-Überschreibungen in .vscode/explorer-dates-overrides.md dokumentiert",".vscode/explorer-dates-overrides.md に Explorer Dates の上書きを記録しました","已在 .vscode/explorer-dates-overrides.md 中记录 Explorer Dates 覆盖项"
teamConfigMissingProfile,"Team configuration is missing an active profile.","La configuración del equipo no tiene un perfil activo.","La configuration d’équipe ne contient aucun profil actif.","Der Teamkonfiguration fehlt ein aktives Profil.","チーム設定にアクティブなプロファイルがありません。","团队配置缺少活动配置文件。"
ephemeralStorageEnospc,"Explorer Dates team configuration could not be saved because the disk is full.","No se pudo guardar la configuración de equipo de Explorer Dates porque el disco está lleno.","Impossible d’enregistrer la configuration d’équipe Explorer Dates car le disque est plein.","Die Teamkonfiguration von Explorer Dates konnte nicht gespeichert werden, da die Festplatte voll ist.","ディスク容量不足のため、Explorer Dates のチーム設定を保存できませんでした。","由于磁盘已满，无法保存 Explorer Dates 团队配置。"
ephemeralStorageGeneric,"Explorer Dates team configuration could not be saved because the workspace is read-only or permissions are restricted.","No se pudo guardar la configuración de equipo de Explorer Dates porque el espacio de trabajo es de solo lectura o los permisos están restringidos.","Impossible d’enregistrer la configuration d’équipe Explorer Dates car l’espace de travail est en lecture seule ou les permissions sont restreintes.","Die Teamkonfiguration von Explorer Dates konnte nicht gespeichert werden, da der Workspace schreibgeschützt ist oder die Berechtigungen eingeschränkt sind.","ワークスペースが読み取り専用、または権限が制限されているため、Explorer Dates のチーム設定を保存できませんでした。","由于工作区为只读或权限受限，无法保存 Explorer Dates 团队配置。"
ephemeralStorageSuffix," Changes will be kept in memory until VS Code restarts, so they may be lost."," Los cambios se mantendrán en memoria hasta que VS Code se reinicie, por lo que podrían perderse."," Les modifications seront conservées en mémoire jusqu’au redémarrage de VS Code et pourraient être perdues."," Änderungen werden im Speicher behalten, bis VS Code neu startet, und können verloren gehen."," 変更は VS Code が再起動するまでメモリに保持されるため、失われる可能性があります。"," 更改将在 VS Code 重启前保存在内存中，因此可能会丢失。"
